Filename	Document Name	Parties	Agreement Date	Effective Date	Expiration Date	Renewal Term (Days)	Notice Period To Terminate Renewal	Termination For Convenience	Change Of Control	Anti-Assignment	Revenue/Profit Sharing	Ip Ownership Assignment	Joint Ip Ownership	Non-Transferable License	Source Code Escrow	Post-Termination Services	Audit Rights	Uncapped Liability	Cap On Liability	Liquidated Damages	Warranty Duration
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement2.pdf	"Customization Schedule

Software License, Customization and Maintenance Agreement"	"Bank of America, N.A. (""Bank of America""); Supplier (""Supplier"")"						No	No	No	No	No	No	No	No	No	No	No	No	No	No
ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement.pdf	DEVELOPMENT AGREEMENT	"Howmedica Ostenonics Corp. (""Stryker""); Conformis, Inc. (""Conformis""); Stryker and Conformis (“Parties” and   individually as a “Party.”)"	9/30/19	9/30/19				No	Yes	Yes	No	Yes	Yes	No	No	No	No	Yes	Yes	No	No
CnsPharmaceuticalsInc_20200326_8-K_EX-10.1_12079626_EX-10.1_Development Agreement.pdf	Development Agreement	"CNS Pharmaceuticals, Inc. (""CNS""); WPD Pharmaceuticals (""WPD"")(""Party"" and collectively as the ""Parties"")"	3/20/20	3/20/20				No	No	No	Yes	No	No	No	No	No	Yes	No	No	No	No
WARNERCHILCOTTPLC_12_31_2003-EX-4.36-DEVELOPMENT AGREEMENT.PDF	DEVELOPMENT AGREEMENT	"Leo Pharma A/S (""LEO""); Galen (Chemicals) Limited (""GALEN"")"	4/1/03	4/1/03				No	No	Yes	No	No	No	No	No	Yes	No	No	Yes	No	No
BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT (1).pdf	DEVELOPMENT AGREEMENT	"Cargill, Incorporated (""Cargill""); Bioamber S.A.S (""Bioamber""); (individually as ""Party"", collectively as ""Parties"")"	4/15/10	4/15/10	4/15/14			No	No	Yes	No	No	Yes	Yes	No	No	Yes	No	Yes	No	No
TRUENORTHENERGYCORP_02_08_2007-EX-10.1-DEVELOPMENT AGREEMENT.PDF	DEVELOPMENT AGREEMENT (“	"BP America Production Company (""BP""); True North Energy Corp. (""Company"")(individually as a “Party” and collectively, the “Parties”)"	1/1/07	1/1/07				No	No	Yes	No	No	No	No	No	Yes	No	No	Yes	Yes	No
HarpoonTherapeuticsInc_20200312_10-K_EX-10.18_12051356_EX-10.18_Development Agreement.PDF	DEVELOPMENT AND OPTION AGREEMENT	"Harpoon Therapeutics, Inc. (""Harpoon""); AbbVie Biotechnology Ltd (""AbbVie"")"	11/20/19	11/20/19				Yes	Yes	Yes	Yes	No	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
LOYALTYPOINTINC_11_16_2004-EX-10.2-RESELLER AGREEMENT.PDF	Distribution Agreement	"American Express Incentive Services, L.L.C. (""AEIS""); Schoolpop, Inc. (""Schoolpop"")"		8/1/04	7/31/09			No	No	Yes	No	No	No	No	No	Yes	Yes	No	Yes	No	No
RitterPharmaceuticalsInc_20200313_S-4A_EX-10.54_12055220_EX-10.54_Development Agreement.pdf	DISTRIBUTION AND DEVELOPMENT AGREEMENT	"Sekisui Diagnostics, LLC and its Affiliates (""Sekisui""); Qualigen, Inc. and its Affiliates (""Qualigen"")"	5/1/16		5/1/21	365	180	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes	Yes	No	No	Yes	Yes
IntegrityFunds_20200121_485BPOS_EX-99.E UNDR CONTR_11948727_EX-99.E UNDR CONTR_Service Agreement.pdf	DISTRIBUTION AND SERVICES AGREEMENT	"Integrity Short Term Government Fund, (""fund""); The Integrity Funds, Integrity Funds Distributor, LLC, (""Integrity"")"	1/18/20		1/18/22	365		No	No	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT.PDF	DISTRIBUTOR  AGREEMENT	"Electric City Corp. (""Company""); Electric City of Illinois LLC (""Distributor"", ""Electric City of Illinois L.L.C."")"	7/7/99			365		No	No	Yes	No	No	No	No	No	Yes	No	No	No	No	Yes
GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement.pdf	DISTRIBUTOR AGREEMENT	"B & C General Warehouse Corporation LLC (""Company""); XXXXXXXXXXXXXXXXXXXXX (""Distributor"")"	8/1/19	8/1/19	8/1/22	1085		No	No	Yes	No	Yes	No	No	No	Yes	No	No	Yes	No	Yes
PrecheckHealthServicesInc_20200320_8-K_EX-99.2_12070169_EX-99.2_Distributor Agreement.pdf	DISTRIBUTOR AGREEMENT	"Co-Diagnostics, Inc. (""Principal""); PreCheck Health Services, Inc. (""Distributor"")"	3/19/20		3/18/21			Yes	No	Yes	No	No	No	No	No	Yes	No	No	No	No	No
BLACKBOXSTOCKSINC_08_05_2014-EX-10.1-DISTRIBUTOR AGREEMENT.PDF	DISTRIBUTOR AGREEMENT	"Snotarator LLC (""Company""); SMSA Ballinger Acquisition Corp., (""Distributor"")"	8/1/13	8/1/13	5/31/15	730		No	Yes	Yes	No	No	No	No	No	No	No	No	Yes	No	Yes
ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT.PDF	DISTRIBUTOR AGREEMENT	"VendingData Corporation (""Vendor""); Technical Casino Supplies Ltd. (""Distributor"")"	1/21/05	1/21/05	1/21/10	1085	90	Yes	Yes	Yes	Yes	No	No	Yes	No	Yes	No	No	Yes	No	Yes
"ETELOS,INC_03_09_2004-EX-10.8-DISTRIBUTOR AGREEMENT.PDF"	DISTRIBUTOR AGREEMENT	"Tripath Technology, Inc. (""Tripath""); Uniquest Corporation (""Distributor"")"	7/7/98	7/1/98	perpetual	365	30	Yes	No	Yes	No	No	No	No	No	Yes	Yes	No	Yes	No	Yes
EUROPEANMICROHOLDINGSINC_03_06_1998-EX-10.6-DISTRIBUTOR AGREEMENT.PDF	DISTRIBUTOR AGREEMENT	"WatchGuard Technologies, Inc. (""WGT""); European Micro (""Distributor"")"	11/5/97	11/5/97	9/30/97	365	30	Yes	Yes	Yes	No	No	No	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
LUCIDINC_04_15_2011-EX-10.9-DISTRIBUTOR AGREEMENT.PDF	Distributor Agreement	"Lucid Inc.; [*] (""Distributor"")"				365		Yes	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No
NEOMEDIATECHNOLOGIESINC_12_15_2005-EX-16.1-DISTRIBUTOR AGREEMENT.PDF	DISTRIBUTOR AGREEMENT	"PPG Paints Trading (Shanghai) Co Ltd (""PPG Shanghai""); NeoMedia Micro Paint Repair (""DISTRIBUTOR"")"	12/1/05	12/1/05	12/31/0	30		No	No	Yes	No	No	No	Yes	No	No	No	No	Yes	No	Yes
NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT.PDF	DISTRIBUTOR AGREEMENT	"JOHNSON MATTHEY CATALOG COMPANY, INC. d/b/a ALFA AESAR (“ALFA AESAR”); Nanophase Technologies Corporation (“NTC”)"	10/24/05		10/24/10	730	180	Yes	No	Yes	Yes	No	No	No	No	Yes	Yes	Yes	Yes	No	Yes
"OPTIMIZEDTRANSPORTATIONMANAGEMENT,INC_07_26_2000-EX-6.6-DISTRIBUTOR AGREEMENT.PDF"	DISTRIBUTOR AGREEMENT	"COMWARE TECHNICAL SERVICES (""COMWARE""); INTERNATIONAL TEST SYSTEMS, INC. (""ITS"")"			10/15/00	182		Yes	No	No	No	No	No	No	No	No	No	No	No	No	Yes
"VISIUMTECHNOLOGIES,INC_10_20_2004-EX-10.20-DISTRIBUTOR AGREEMENT.PDF"	DISTRIBUTOR AGREEMENT	"Wireless Links Inc (""WLI""); Jaguar Investments, Inc. and its affiliates (""Power2Ship"")"	4/7/03	4/7/03	4/7/06	365	120	No	No	Yes	Yes	No	No	No	No	Yes	Yes	No	Yes	No	Yes
"NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBUTOR AGREEMENT.pdf"	DISTRIBUTOR AGREEMENT	"Ingram Micro (""Distributor""); NETGEAR, Inc. (""NETGEAR"")"	11/5/96	3/1/96	3/1/97	365		Yes	No	Yes	No	No	No	No	No	No	Yes	Yes	Yes	No	Yes
NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_New.pdf	DISTRIBUTOR AGREEMENT	"Peregrine/Bridge Transfer Corporation (""Licensor""); Neon Systems, Inc. (""Licensee"")"	1/1/96		1/1/98	365	60	No	Yes	Yes	Yes	No	No	No	No	Yes	Yes	No	Yes	No	Yes
AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement.PDF	"Distributor Agreement

Distributor Agreement"	"Airspan Networks Incorporated (""Airspan""); GLS LLC (""Distributor"")"	3/31/00	3/31/00	3/31/05			No	No	Yes	No	No	No	Yes	No	Yes	Yes	No	Yes	No	Yes
FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement.pdf	Distributorship agreement	"Signature Orthopaedics Pty Ltd; CPM Medical Consultants, LLC"	3/29/18		3/29/19		365	No	No	Yes	No	No	No	No	No	Yes	Yes	No	No	No	No
StaarSurgicalCompany_20180801_10-Q_EX-10.37_11289449_EX-10.37_Distributor Agreement.pdf	DISTRIBUTORSHIP AGREEMENT	"STARAR SURGICAL AG (""STAAR""); Distributor (""Distributor"")"				365		Yes	No	Yes	No	No	No	Yes	No	Yes	No	Yes	Yes	No	Yes
ZogenixInc_20190509_10-Q_EX-10.2_11663313_EX-10.2_Distributor Agreement.pdf	DISTRIBUTORSHIP AGREEMENT	"ZOGENIX, INC. (""Zogenix""); Nippon Shinyaku Company, Ltd. (""Distributor"")(""Party"" and collectively as the ""Parties"")"	3/18/19	3/18/19	9/1/45			Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	No	No
ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_4771615_EX-10.32_Content License Agreement.pdf	DOMAIN NAME AND CONTENT LICENSE AGREEMENT	"Beijing SINA Internet Information Service Co., Ltd. (""Licensor""); Beijing Yisheng Leju Information Services Co., Ltd. (""Licensee"")"						No	Yes	Yes	No	No	No	Yes	No	Yes	No	No	No	No	No
LejuHoldingsLtd_20140121_DRS (on F-1)_EX-10.26_8473102_EX-10.26_Content License Agreement1.pdf	DOMAIN NAME AND CONTENT LICENSE AGREEMENT	"Beijing SINA Internet Information Service Co., Ltd (""Licensor""); Beijing Yisheng Leju Information Services Co., Ltd (""Licensee"" and together with Licensor, the ""Parties"" and each a ""Party"")"						No	Yes	Yes	No	No	No	Yes	No	Yes	No	No	No	No	No
QuantumGroupIncFl_20090120_8-K_EX-99.2_3672910_EX-99.2_Hosting Agreement.pdf	e-business Hosting Agreement	"International Business Machines Corporation (""IBM”); The Quantum Group Inc. (""Customer"")"	12/2/08	12/3/08	12/3/11			Yes	No	Yes	No	No	No	Yes	No	No	No	Yes	Yes	No	No
BLUEFLYINC_03_27_2002-EX-10.27-e-business Hosting Agreement.PDF	e-business Hosting Agreement	"International Business Machines Corporation (""IBM""); Bluefly, Inc. (""Customer"")"	1/14/02	1/15/02	perpetual			Yes	No	Yes	No	No	No	No	No	No	No	Yes	Yes	Yes	No
HEALTHGATEDATACORP_11_24_1999-EX-10.1-HOSTING AND MANAGEMENT AGREEMENT (1).pdf	"ELECTRONIC JOURNAL SOFT WARE DEVELOPMENT,                         HOSTING AND MANAGEMENT AGREEMENT"	"HealthGate Data Corp. (""HealthGate""); Blackwell Science Limited (""Blackwell""); Munksgaard A/S (""Munskgaard""); together, Blackwell and Munksgaard shall be referred to as ""the Publishers"")"	3/20/98	1/1/98	2/28/00	365		No	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	No
ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement.pdf	ENDORSEMENT	Thrivent Financial for Lutherans	7/1/19	7/1/19				No	No	Yes	No	No	No	No	No	No	No	No	No	No	No
EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement.pdf	ENDORSEMENT AGREEMENT	"Eco Science Solutions, Inc (""ESSI""); Stephen Marley (""Talent"")"	11/14/17	11/14/17	11/14/18	365	30	No	No	Yes	Yes	No	No	Yes	No	No	No	No	No	No	No
BerkshireHillsBancorpInc_20120809_10-Q_EX-10.16_7708169_EX-10.16_Endorsement Agreement.pdf	ENDORSEMENT AGREEMENT	"Geno Auriemma (Auriemma); Berkshire Bank (Berkshire)(""Party"" or ""Parties"")"	5/17/12		5/31/16			No	Yes	Yes	No	No	No	Yes	No	Yes	No	No	No	No	No
GridironBionutrientsInc_20171206_8-K_EX-10.1_10972555_EX-10.1_Endorsement Agreement.pdf	ENDORSEMENT AGREEMENT	"National Football League Alumni - Northern America Chapter (""NFLA-NC""); National Football League Alumni, Inc (""NFLA""); Food For Athletes, Inc./Gridiron BioNutrients™ (collectively the ""Company"")"	10/30/17	11/1/17	11/2/20			No	No	Yes	Yes	No	No	Yes	No	Yes	No	No	Yes	No	No
LifewayFoodsInc_20160316_10-K_EX-10.24_9489766_EX-10.24_Endorsement Agreement.pdf	ENDORSEMENT AGREEMENT	"Lifeway Foods, Inc. (""Lifeway""); Ludmila Smolyansky (""Individual"")"	3/14/16	3/14/16				No	No	Yes	Yes	No	No	No	No	No	No	No	No	No	No
PerformanceSportsBrandsInc_20110909_S-1_EX-10.10_7220214_EX-10.10_Endorsement Agreement.pdf	ENDORSEMENT AGREEMENT	"Golfers Incorporated (""Company""); Andy North (""North"")"	2/21/11	2/21/11	12/31/12			No	No	Yes	Yes	No	No	No	No	Yes	Yes	No	No	No	No
PharmagenInc_20120803_8-KA_EX-10.1_7693204_EX-10.1_Endorsement Agreement.pdf	ENDORSEMENT AGREEMENT	"Healthcare Distribution Specialists LLC (""HDS""); Paul Silas (""Celebrity"")"	2/20/12	2/20/12	2/19/13			No	No	Yes	No	No	No	Yes	No	No	No	No	No	No	No
PapaJohnsInternationalInc_20190617_8-K_EX-10.1_11707365_EX-10.1_Endorsement Agreement.pdf	ENDORSEMENT AGREEMENT	"ABG-Shaq, LLC (""ABG""); Papa John's Marketing Fund, Inc (""PJMF""); Papa John's International, Inc (""PJI"")(PJMF and PJI individually and collectively, ""PAPA JOHN'S"")"	3/15/19	3/15/19	3/15/22			No	No	Yes	No	Yes	No	Yes	No	Yes	No	No	Yes	No	No
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.PDF	ENDORSEMENT AGREEMENT	"TOM WATSON (""CONSULTANT""); ADAMS GOLF, LTD. (""ADAMS GOLF"")"	1/13/05	9/1/04				No	No	Yes	No	No	No	No	No	No	No	No	No	No	No
AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT.PDF	Endorsement Agreement	"Kathy Ireland, Inc. (""KI Inc.""); Kathy Ireland (""KI""); The Sterling/Winters Co. (""SW""); Diplomat Ambassador Eyewear Group (""Diplomat"")"	8/24/95	8/1/95	1/30/00			No	No	Yes	Yes	No	No	No	No	Yes	Yes	No	No	No	No
HOLIDAYRVSUPERSTORESINC_04_15_2002-EX-10.13-ENDORSEMENT AGREEMENT.PDF	ENDORSEMENT AGREEMENT	"Holiday RV Superstores, Inc. d/b/a Recreation USA (""Company""); Affinity Group, Inc. (""AGI""); Company and AGI (each a ""Party"" and collectively the ""Parties"")"	3/20/02	3/20/02	3/20/05			Yes	No	Yes	No	No	No	No	No	Yes	No	No	No	No	No
"MARSHALLHOLDINGSINTERNATIONAL,INC_04_14_2004-EX-10.15-ENDORSEMENT AGREEMENT.PDF"	ENDORSEMENT AGREEMENT	"Bruce Jenner (""CELEBRITY""); The Right Solution (""COMPANY"")"	11/1/03		11/1/04			No	Yes	Yes	No	No	No	No	No	No	No	No	No	No	No
MOVADOGROUPINC_04_30_2003-EX-10.28-ENDORSEMENT AGREEMENT.PDF	ENDORSEMENT AGREEMENT	"Movado Group, Inc. (""Company""); Trustees of the Grinberg Family Trust (""Trust"")"	4/4/03		perpetual			No	No	No	No	No	No	No	No	Yes	No	No	No	No	No
MOSSIMOINC_04_14_2000-EX-10.14-ENDORSEMENT AGREEMENT.PDF	ENDORSEMENT AGREEMENT	"MOSSIMO, INC. (""Company""); DAVID DUVAL ENTERPRISES, INC (""Licensor"")"	1/1/00	1/1/00	12/31/03			No	Yes	Yes	No	Yes	No	No	No	No	No	No	Yes	Yes	No
SPORTHALEYINC_09_29_1997-EX-10.2-10-ENDORSEMENT AGREEMENT.PDF	ENDORSEMENT AGREEMENT	"SPORT-HALEY, INC. (""Company""); __________ (""Professional"")"						No	No	Yes	No	No	No	No	No	Yes	No	No	No	No	No
TEARDROPGOLFCO_10_23_1996-EX-10.12-ENDORSEMENT AGREEMENT.PDF	Endorsement Agreement	"Teardrop Putter Corporation (""TPC""); Consolidated Artists  Inc. (""Consolidated Artists"")"	1/1/96	1/1/96	12/31/98			No	No	Yes	Yes	No	No	No	No	Yes	Yes	No	No	Yes	No
WARNINGMANAGEMENTSERVICESINC_12_10_1999-EX-10-ENDORSEMENT AGREEMENT.PDF	ENDORSEMENT AGREEMENT	"FAMOUS FIXINS, INC. (""Company""); PEY DIRT, INC. (""Pey Dirt"")"	5/31/99	5/31/99	5/31/00			No	Yes	Yes	Yes	Yes	No	No	No	Yes	Yes	No	Yes	No	No
WOMENSGOLFUNLIMITEDINC_03_29_2000-EX-10.13-ENDORSEMENT AGREEMENT.PDF	Endorsement Agreement	"SQUARE TWO GOLF INC. (""Company""); KATHY WHITWORTH (""Professional"")"	10/13/99	1/1/00	12/31/04	1820		No	No	Yes	Yes	Yes	No	No	No	Yes	No	No	No	No	No
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.pdf	ENDORSEMENT AGREEMENT ADDENDUM I	"National Football League Alumni - Northern California Chapter (""NFLA-NC""); National Football League Alumni, Inc (""NFLA""); Food For Athletes, Inc./ Gridiron Gridiron BioNutrients™ (collectively, the ""Company"")"	11/7/17	11/7/17				No	No	No	Yes	No	No	No	No	No	No	No	No	No	No
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement.pdf	ENDORSEMENT LICENSING AND CO-BRANDING AGREEMENT	"Marine MP, LLC (“Lender”); Arnold Schwarzenegger (“Endorser”); Fitness Publications, Inc. (“Fitness”); Lender, Endorser and Fitness (“AS Parties”);  MusclePharm Corporation (""MusclePharm"" or ""Company"")"	7/26/13	7/26/13	7/22/16	1085		No	Yes	Yes	Yes	Yes	No	No	No	Yes	Yes	No	Yes	No	No
HEALTHGATEDATACORP_11_24_1999-EX-10.1-HOSTING AND MANAGEMENT AGREEMENT - Escrow Agreement.pdf	ESCROW AGREEMENT	"NCC ESCROW INTERNATIONAL LIMITED (""NCC"")"						Yes	No	No	No	No	No	No	Yes	No	No	No	Yes	No	No
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship Agreement.pdf	EVENT SPONSORSHIP AGREEMENT	"Newegg Inc. (""Newegg""); Allied Esports International, Inc. (""Allied"")(""Parties"" and each as a ""Party"")"	2/1/19	2/1/19	1/31/24			Yes	No	Yes	No	No	No	Yes	No	No	No	Yes	Yes	No	No
"LEGACYTECHNOLOGYHOLDINGS,INC_12_09_2005-EX-10.2-DISTRIBUTOR AGREEMENT.PDF"	EXCLUSIVE   DISTRIBUTOR  AGREEMENT	"LifeUSA/  Envision  Health,  Inc. (""ENVISION""); Sierra Mountain Minerals, Inc. (""SIERRA"")"	12/8/05	12/8/05	12/8/07	365		No	No	Yes	No	No	No	No	No	Yes	No	No	No	No	No
InnerscopeHearingTechnologiesInc_20181109_8-K_EX-10.6_11419704_EX-10.6_Distributor Agreement.pdf	EXCLUSIVE DISTRIBUTOR AGREEMENT	"Erchonia Corporation (""Erchonia""); InnerScope Hearing Technologies Inc (""Distributor"")"				3 years		No	No	Yes	No	Yes	No	Yes	No	No	Yes	No	Yes	No	No
WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement.pdf	EXCLUSIVE DISTRIBUTOR AGREEMENT	"WATER NOW, INC.; (""Water Now""); Hydraspin USA, Inc. (""Subsidiary"", collectively with Water Now, ""Hydraspin""); BESTEV MANAGEMENT, LLC (""Distributor""); Hydraspin and Distributor (“Party” and collectively as the “Parties.”)"	11/12/19	11/12/19	11/12/24	successive 1820	120	No	Yes	Yes	Yes	No	No	Yes	No	No	Yes	No	Yes	No	No
SmartRxSystemsInc_20180914_1-A_EX1A-6 MAT CTRCT_11351705_EX1A-6 MAT CTRCT_Distributor Agreement.pdf	EXCLUSIVE DISTRIBUTOR AGREEMENT	"SMART RX SYSTEMS, INC. (""Company""); A3 DEVELOPMENT GROUP, LLC (""Distributor"")"	5/17/17		5/17/22	365	180	No	No	No	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No
HYPERIONSOFTWARECORP_09_28_1994-EX-10.47-EXCLUSIVE DISTRIBUTOR AGREEMENT.PDF	EXCLUSIVE DISTRIBUTOR AGREEMENT	"IMRS OPERATIONS INC. (""IMRS INC."", ""Developer""); Delteq Pte Ltd (""Distributor"")"	4/15/94	4/15/94	4/15/95	successive 730		No	No	Yes	Yes	No	No	Yes	No	Yes	Yes	No	Yes	No	Yes
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.pdf	EXCLUSIVE LICENSE AND PRODUCT DEVELOPMENT AGREEMENT	"Eton Pharmaceuticals, Inc. (“ETON”); Aucta Pharmaceuticals, Inc.(“Aucta”)"	6/12/19	9/2/19	Perpetual			Yes	Yes	Yes	Yes	No	No	No	No	Yes	Yes	No	Yes	No	No
"KUBIENT,INC_07_02_2020-EX-10.14-MASTER SERVICES AGREEMENT_Part2.pdf"	EXHIBIT ‘B’	"Kubient, Inc. (""Kubient""); The Associated Press (""Customer"")"	3/26/20	2/5/20				No	No	No	Yes	No	No	No	No	No	No	No	No	No	No
BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment.pdf	First Amendment	"Cargill, Incorporated (“Cargill”); BioAmber S.A.S. (“BioAmber”)"	7/18/11	7/5/11				No	No	No	No	No	No	No	No	No	No	No	No	No	No
NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.pdf	FIRST AMENDMENT TO                                                                           DISTRIBUTOR AGREEMENT	"Peregrine/Bridge Transfer Corporation (""Licensor""); Neon Systems, Inc. (""Licensee"")"	1/1/99		3/31/04	365	60	No	Yes	Yes	Yes	No	No	No	No	No	No	No	No	No	No
ZONDWINDSYSTEMPARTNERSLTDSERIES85-B_04_03_2006-EX-10-MANAGEMENT AND MAINTENANCE AGREEMENT.PDF	FIRST AMENDMENT TO SAGEBRUSH MANAGEMENT AND MAINTENANCE AGREEMENT	"Sagebrush (""Partnership""); Sagebrush partners (""Partners""); ToyoWest Management Inc. (""Manager"")"	12/1/90					No	No	No	No	No	No	No	No	No	No	No	No	No	No
Cerus Corporation - FIRST AMEND TO SUPPLY AND MANUFACTURING AGREEMENT.PDF	FIRST AMENDMENT TO SUPPLY AND MANUFACTURING AGREEMENT	"Cerus Corporation (""Cerus""); Porex Corporation (""Porex"")"	6/22/18	4/1/18				No	No	No	No	No	No	No	No	No	No	No	No	No	No
IdeanomicsInc_20151124_8-K_EX-10.2_9354744_EX-10.2_Content License Agreement.pdf	FORM OF CONTENT LICENSE AGREEMENT	"Beijing Sun Seven Stars Culture Development Limited (""Licensor""); YOU ON DEMAND HOLDINGS, INC (""Licensee"")"	1/1/15	1/1/15	1/1/35			No	No	Yes	Yes	No	No	No	No	No	No	Yes	Yes	No	No
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement1.pdf	FORM OF FRANCHISE AGREEMENT	"Pizza Fusion Holding, Inc. (""we"", ""us"", ""our""); the individual or legal entity identified on the cover page (""Franchisee"", ""You"", ""your"")"				3650		Yes	Yes	Yes	Yes	Yes	No	Yes	No	Yes	Yes	No	Yes	Yes	No
SalesforcecomInc_20171122_10-Q_EX-10.1_10961535_EX-10.1_Reseller Agreement.pdf	FORM OF SUB-RESELLER AGREEMENT	"salesforce.com, inc. (""SFDC"", ""Salesforce""); Salesforce.org (""Reseller"")"						No	No	No	No	No	No	No	No	No	No	No	No	No	No
HertzGroupRealtyTrustInc_20190920_S-11A_EX-10.8_11816941_EX-10.8_Trademark License Agreement.pdf	FORM OF TRADEMARK LICENSE AGREEMENT	"HERTZ INVESTMENT GROUP, LLC (""Licensor""); HERTZ GROUP REALTY TRUST, INC. (""Licensee"" and together with Licensor, the ""Parties"")"	09/1/19	09/1/19				Yes	Yes	Yes	No	No	No	Yes	No	No	No	No	Yes	No	No
ArconicRolledProductsCorp_20191217_10-12B_EX-2.7_11923804_EX-2.7_Trademark License Agreement.pdf	FORM OF TRADEMARK LICENSE AGREEMENT	"ARCONIC INC. (""Licensee""); ARCONIC ROLLED PRODUCTS CORP. (""Licensor"")"	1/1/20	1/1/20				No	Yes	Yes	No	No	No	No	No	No	Yes	No	No	No	No
MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT.PDF	FRANCHISE AGREEMENT	"Pretzel Time, Inc. doing business as Pretzel Time (""Pretzel Time""; ""FRANCHISOR""); Franchisee (""Franchisee"")"				1820	182	Yes	Yes	Yes	Yes	Yes	No	No	No	Yes	Yes	No	Yes	No	No
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT.PDF	Franchise Agreement	"BW-3 FRANCHISE SYSTEMS, INC. (""Franchisor"", ""we"" or ""us""); Franchisee (""you"")"				1820	90	No	Yes	Yes	Yes	Yes	No	Yes	No	Yes	Yes	No	No	Yes	No
AIRTECHINTERNATIONALGROUPINC_05_08_2000-EX-10.4-FRANCHISE AGREEMENT.PDF	FRANCHISE AGREEMENT	"Airsopure International Group, Inc. (""AIRSOPURE"" or ""we"" or ""us"" or ""our""); (""You"" or ""Franchisee"" or ""Your"")"	1/1/00	1/1/00	1/1/10	3650		No	No	Yes	No	No	No	Yes	No	Yes	Yes	No	No	No	No
"HOSPITALITYINVESTORSTRUST,INC_04_07_2014-EX-10.26-FRANCHISE AGREEMENT.PDF"	FRANCHISE AGREEMENT	"Homewood Suites Franchise LLC (""we,"" ""us,"" ""our"" or ""Franchisor""); Franchisee (""you,"" ""your"" or ""Franchisee"") (We and you may collectively be referred to as the ""Parties."")"		3/21/14	3/31/29			No	Yes	Yes	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	No
INTERNATIONALFASTFOODCORP_04_04_1997-EX-99-FRANCHISE AGREEMENT.PDF	FRANCHISE AGREEMENT	"BURGER  KING  CORPORATION (""BKC""); INTERNATIONAL FAST FOOD POLSKA SP ZO.0 (""Franchisee""); INTERNATIONAL FAST FOOD                                           CORPORATION (""Principals"", ""Principal"")"						No	Yes	Yes	Yes	Yes	No	No	No	Yes	Yes	No	No	No	No
"GOOSEHEADINSURANCE,INC_04_02_2018-EX-10.6-Franchise Agreement.PDF"	FRANCHISE AGREEMENT	"Goosehead Insurance Agency, LLC (“we,” “us,” or “our""); (“you” or the “Franchisee"")"				1820		No	Yes	Yes	Yes	Yes	No	Yes	No	Yes	Yes	No	Yes	Yes	No
